YR,MO,DA,HHMM,Day,Day_1,S,Bx,By,Bz,Bt,Lat,Long
2003,10,29,1903,52941,68580,0,-23.9,-11.8,-28.6,39.1,-47,206.2
2003,10,29,1904,52941,68640,0,-25.1,-11.4,-27.7,39.1,-45.2,204.3
2003,10,29,1905,52941,68700,0,-23.7,-7.9,-30.3,39.3,-50.5,198.4
2003,10,29,1906,52941,68760,0,-22.8,-4.9,-32.6,40.1,-54.4,192.1
2003,10,29,1907,52941,68820,0,-22.8,-6.6,-32.1,39.9,-53.6,196
2003,10,29,1908,52941,68880,0,-22.3,-7.9,-32,39.8,-53.5,199.4
2003,10,29,1909,52941,68940,0,-22.6,-5.9,-32.1,39.7,-53.9,194.7
2003,10,29,1910,52941,69000,0,-22.7,-8.3,-31.5,39.7,-52.6,200
2003,10,29,1911,52941,69060,0,-22.8,-9.7,-31.1,39.7,-51.5,203
2003,10,29,1912,52941,69120,0,-22.3,-11.5,-30.6,39.6,-50.7,207.2
2003,10,29,1913,52941,69180,0,-22.2,-12.1,-30.1,39.4,-50,208.7
2003,10,29,1914,52941,69240,0,-21.9,-12.2,-30.1,39.2,-50.1,209.1
2003,10,29,1915,52941,69300,0,-22.4,-10.8,-30.2,39.2,-50.6,205.7
2003,10,29,1916,52941,69360,9,-22.3826086956522,-10.6608695652174,-29.8652173913043,38.904347826087,-50.3130434782609,205.413043478261
2003,10,29,1917,52941,69420,9,-22.3652173913043,-10.5217391304348,-29.5304347826087,38.6086956521739,-50.0260869565217,205.126086956522
2003,10,29,1918,52941,69480,9,-22.3478260869565,-10.3826086956522,-29.195652173913,38.3130434782609,-49.7391304347826,204.839130434783
2003,10,29,1919,52941,69540,9,-22.3304347826087,-10.2434782608696,-28.8608695652174,38.0173913043478,-49.4521739130435,204.552173913043
2003,10,29,1920,52941,69600,9,-22.3130434782609,-10.104347826087,-28.5260869565217,37.7217391304348,-49.1652173913044,204.265217391304
2003,10,29,1921,52941,69660,9,-22.295652173913,-9.96521739130435,-28.1913043478261,37.4260869565217,-48.8782608695652,203.978260869565
2003,10,29,1922,52941,69720,9,-22.2782608695652,-9.82608695652174,-27.8565217391304,37.1304347826087,-48.5913043478261,203.691304347826
2003,10,29,1923,52941,69780,9,-22.2608695652174,-9.68695652173913,-27.5217391304348,36.8347826086957,-48.304347826087,203.404347826087
2003,10,29,1924,52941,69840,9,-22.2434782608696,-9.54782608695652,-27.1869565217391,36.5391304347826,-48.0173913043478,203.117391304348
2003,10,29,1925,52941,69900,9,-22.2260869565217,-9.40869565217391,-26.8521739130435,36.2434782608696,-47.7304347826087,202.830434782609
2003,10,29,1926,52941,69960,9,-22.2086956521739,-9.26956521739131,-26.5173913043478,35.9478260869565,-47.4434782608696,202.54347826087
2003,10,29,1927,52941,70020,9,-22.1913043478261,-9.1304347826087,-26.1826086956522,35.6521739130435,-47.1565217391304,202.25652173913
2003,10,29,1928,52941,70080,9,-22.1739130434783,-8.99130434782609,-25.8478260869565,35.3565217391304,-46.8695652173913,201.969565217391
2003,10,29,1929,52941,70140,9,-22.1565217391304,-8.85217391304348,-25.5130434782609,35.0608695652174,-46.5826086956522,201.682608695652
2003,10,29,1930,52941,70200,9,-22.1391304347826,-8.71304347826087,-25.1782608695652,34.7652173913043,-46.295652173913,201.395652173913
2003,10,29,1931,52941,70260,9,-22.1217391304348,-8.57391304347826,-24.8434782608696,34.4695652173913,-46.0086956521739,201.108695652174
2003,10,29,1932,52941,70320,9,-22.104347826087,-8.43478260869565,-24.5086956521739,34.1739130434783,-45.7217391304348,200.821739130435
2003,10,29,1933,52941,70380,9,-22.0869565217391,-8.29565217391304,-24.1739130434783,33.8782608695652,-45.4347826086957,200.534782608696
2003,10,29,1934,52941,70440,9,-22.0695652173913,-8.15652173913043,-23.8391304347826,33.5826086956522,-45.1478260869565,200.247826086957
2003,10,29,1935,52941,70500,9,-22.0521739130435,-8.01739130434783,-23.504347826087,33.2869565217391,-44.8608695652174,199.960869565217
2003,10,29,1936,52941,70560,9,-22.0347826086957,-7.87826086956522,-23.1695652173913,32.9913043478261,-44.5739130434783,199.673913043478
2003,10,29,1937,52941,70620,9,-22.0173913043478,-7.73913043478261,-22.8347826086957,32.695652173913,-44.2869565217391,199.386956521739
2003,10,29,1938,52941,70680,0,-22,-7.6,-22.5,32.4,-44,199.1
2003,10,29,1939,52941,70740,0,-22.1,-11.2,-27.3,36.9,-47.8,207
2003,10,29,1940,52941,70800,0,-21.7,-12.3,-27.2,36.9,-47.5,209.4
2003,10,29,1941,52941,70860,0,-22.1,-8.7,-27.4,36.2,-49.1,201.5
2003,10,29,1942,52941,70920,0,-21.4,-7,-27.5,35.6,-50.7,198
2003,10,29,1943,52941,70980,0,-20.9,-9,-27.2,35.5,-50.1,203.2
2003,10,29,1944,52941,71040,0,-20.3,-9.4,-26.9,35,-50.2,204.7
2003,10,29,1945,52941,71100,0,-20.3,-10.1,-26.5,34.9,-49.4,206.3
2003,10,29,1946,52941,71160,0,-20.3,-10.9,-26.1,34.9,-48.6,208.3
2003,10,29,1947,52941,71220,0,-19.8,-12.5,-25.5,34.6,-47.5,212.2
2003,10,29,1948,52941,71280,0,-19.6,-11.9,-25.5,34.3,-48,211.2
2003,10,29,1949,52941,71340,0,-20.1,-10.1,-25.8,34.3,-48.9,206.6
2003,10,29,1950,52941,71400,0,-19.8,-9.2,-25.7,33.8,-49.7,204.8
2003,10,29,1951,52941,71460,0,-19.6,-8.5,-25.9,33.6,-50.5,203.5
2003,10,29,1952,52941,71520,0,-19.5,-8.8,-26.8,34.3,-51.5,204.3
2003,10,29,1953,52941,71580,0,-19.6,-7.8,-26.8,34.1,-51.8,201.8
2003,10,29,1954,52941,71640,0,-19.2,-10.9,-25.5,33.7,-49.2,209.7
2003,10,29,1955,52941,71700,0,-18.2,-13.1,-25.3,33.8,-48.4,215.7
2003,10,29,1956,52941,71760,0,-18.8,-12.1,-25.4,33.8,-48.7,212.7
2003,10,29,1957,52941,71820,0,-19.5,-10.5,-25.7,34,-49.3,208.2
2003,10,29,1958,52941,71880,0,-19.7,-10.2,-25.6,33.9,-49.1,207.4
